Stichwort,Datum
Leistungen an parlamentarische Gruppen,19.2.1991
Geschäftsordnung des Abgeordnetenhauses: Änderungsvorschlag zur Regelung des Gruppenstatus,20.2.1991
Landesabgeordnetengesetz: § 2 Abs. 4 und § 15 Abs. 2 (Bereinigung von Unstimmigkeiten),26.2.1991
Parität in Hochschulgremien,8.3.1991
Deutsche Klassenlotterie Berlin,20.3.1991
Inkompatibilität von Hochschullehrern von Amt und Mandat eines Bezirksverordneten,10.4.1991
Auskunftspflicht gegenüber Bezirksverordnetenversammlungen,17.4.1991
Berufsamt (Förderung von Maßnahmen nach § 40 c AFG),6.5.1991
Frauenbeauftragte in den Bezirksverwaltungen und Hochschulen,3.6.1991
Soll-Vorschrift (Zulässigkeit einer Überschreitung der in einer gesetzlichen Soll-Vorschrift festgelegten Mitgliederhöchstzahl; hier: Verfassungsschutzausschuss),7.6.1991
Ministerium für Staatssicherheit der ehemaligen DDR: Mitarbeit von Abgeordneten; Anwendbarkeit der Verhaltensregeln nach der GO Abghs,11.6.1991
Privatnutzung des Dienstwagens des Präsidenten,14.6.1991
Rederecht des Abgeordneten,14.6.1991
"Vorläufiger Krankenhausrahmenplan 1991 (Rechtscharakter, Beteiligung der Krankenhäuser)",27.6.1991
Gesetz zur Ergänzung des Berliner Hochschulgesetzes,17.7.1991
Berliner Datenschutzbeauftragter,7.8.1991
Einsetzung eines parlamentarischen Untersuchungsausschusses: Feststellung einer Tätigkeit von Mitgliedern des Abgeordnetenhauses für das MfS,17.9.1991
Abgeordnetengleichheit,2.10.1991
Untersuchungsausschuss: Möglichkeiten einer verfassungskonformen Regelung der Zusammensetzung von Untersuchungsausschüssen,2.10.1991
Berliner Stadtreinigungs-Betriebe: Tarifordnung des Senats,4.12.1991
Preußischer Landtag: Eigentumsverhältnisse,6.1.1992
Rundfunkgebühren (Tatbestand der Rundfunkgebührenpflicht),15.1.1992
Staatsfreiheit des Rundfunks,21.1.1992
Bezirksverordnetenversammlungen (Wahlen am 24. Mai 1992),6.2.1992
Parlamentarische Gruppen: Ehrenrat,25.2.1992
Gleichwertigkeitsanerkennung,19.3.1992
Gesetz über ein Vorkaufsrecht (Vereinbarkeit mit Art. 14 GG),24.3.1992
Denkmalschutz bei Teilen historischer Gebäude,30.3.1992
"Aufsichtsgremium (Medienrat), Staatsfreiheit des Rundfunks",8.4.1992
Weimarer Republik (Verwaltungszuständigkeiten in der -),14.4.1992
Bestands- und Entwicklungsgarantie,24.4.1992
Abgeordnetenentschädigung: Objektivierung der Entscheidung über ihre Höhe,29.4.1992
Energiespargesetz,21.5.1992
Vereinheitlichungsgesetz (Rechtmäßigkeit der Maßgabe c in Abschnitt VI Nr. 10 der Anlage 2),4.6.1992
Anerkennung von Hochschuldiplomen von EG-Ausländern,5.6.1992
Landesbeauftragter für die Unterlagen des Staatssicherheitsdienstes der ehemaligen DDR (Notwendigkeit einer landesgesetzlichen Grundlage für seine Wahl durch das Abghs),15.6.1992
Verfassung von Berlin vom 1. September 1950: Art. 44 Abs. 2 (Wahl der Generalstaatsanwälte und des Polizeipräsidenten),16.6.1992
Vereinbarkeit Berliner Hochschulgesetz mit Bundesrecht,30.6.1992
Besoldungs-Übergangsverordnung (Zweite),30.7.1992
Wohnungsgenossenschaften (Veräußerung von Grundstücken Berlins an -; Gesetzentwurf),4.8.1992
Pauschale Minderausgaben (Rechtmäßigkeit der Veranschlagung),13.8.1992
Staatsvertrag: Möglichkeiten der Stärkung der Mitwirkungsrechte des Parlaments,16.10.1992
Abgeordnetenstatus: Rederecht,27.10.1992
Berliner Hochschulgesetz: Vereinbarkeit einiger Vorschriften mit Bundesrecht,29.10.1992
Verlust des Abgeordnetenmandats,2.11.1992
Rechtsstellung der Fraktionen,12.11.1992
Wohnungsbaugesellschaften (Verwendung für Investitionskosten bei Rückübertragung an Alteigentümer),25.11.1992
Hochschulpersonal-Übernahmegesetz (Auslegung von § 2 Abs. 3),3.12.1992
Fraktionen: Unabhängigkeit,1.1.1993
Abberufung von Abgeordneten aus parlamentsexternen Gremien,6.1.1993
Landesantidiskriminierungsgesetz: Vergleich der Rechtsstellung von Frauenvertreterin und Personalvertretung,12.2.1993
Städtebauliche Entwicklungsmaßnahme,19.2.1993
Frauenbeauftragte: Formulierung im LADG,25.2.1993
Zuständigkeit Präsidentin (Führung der Geschäfte),3.3.1993
Einigungsvertrag: Zulässigkeit ambulanter Schwangerschaftsabbrüche,10.3.1993
Altersversorgung für ehemalige Mitglieder des Abgeordnetenhauses (Berücksichtigung von Mandatszeiten in der StVV),29.4.1993
Inkompatibilität von Hochschullehrern von Prorektorenamt und Funktion als gewähltes Mitglied des Akademischen Senats einer Fachhochschule,28.5.1993
"Wahlrechtsgrundsätze(Allgemeinheit, Gleichheit, Unmittelbarkeit)",2.6.1993
Haushalt (verfassungsmäßige Grenzen für die Höhe der Neuverschuldung),1.9.1993
Ausführungsgesetz zum Kinder- und Jugendhilfegesetz,9.9.1993
Einsetzung des 1. Untersuchungsausschusses (12. WP) (Rechtmäßigkeit),7.10.1993
Arbeitsverhältnis eines Abgeordneten (Beendigung durch Arbeitgeber wegen Mandatsausübung),11.10.1993
Altersentschädigung für Abgeordnete (Synopse),29.10.1993
Solidarfonds für zusätzliche Beschäftigungsmaßnahmen,8.11.1993
"Ausschussbesprechung einer Großen Anfrage, Redezeit",15.11.1993
Städtische Wohnungsbaugesellschaften (Berliner Wohnungsgesellschafts-Vermögensgesetz),26.11.1993
Wohngeldgesetz (Vereinbarkeit mit Art. 3 Abs. 1 GG),29.12.1993
Abbau der Fehlsubventionierung im Berliner Wohnungswesen,25.1.1994
